Size,Time
10, 361.87
15, 346.787
22, 268.764
33, 391.555
49, 514.129
73, 383.141
109, 482.006
163, 373.245
244, 445.584
366, 345.833
549, 397.034
823, 464.082
1234, 352.279
1851, 419.895
2776, 347.891
4164, 451.643
6246, 620.654
9369, 518.07
14053, 766.246
21079, 643.949
31618, 878.823
47427, 718.594
71140, 973.689
106710, 1252.51
160065, 944.606
240097, 1246.37
360145, 1007.68
540217, 1244.12
810325, 1631.28
1215487, 1368.93
1823230, 1588.92
2734845, 1377.9
4102267, 1601.71
6153400, 1160.25
9230100, 1086.02
