Size,Time
10, 0.17
15, 0.14
22, 0.286364
33, 0.269697
49, 0.402041
73, 0.321918
109, 0.43578
163, 0.53681
244, 0.403689
366, 0.48388
549, 0.369763
823, 0.42819
1234, 0.479011
1851, 0.345597
2776, 0.374712
4164, 0.275456
6246, 0.349167
9369, 0.285986
14053, 0.349178
21079, 0.479657
31618, 0.396325
47427, 0.59246
71140, 0.501735
106710, 0.668494
160065, 0.863745
240097, 0.693425
360145, 0.906793
540217, 0.73749
810325, 0.934585
1215487, 0.765258
1823230, 1.05651
2734845, 1.2222
4102267, 1.03207
6153400, 1.20274
9230100, 1.02374
13845150, 1.19122
20767725, 1.41445
31151587, 1.26908
