Size,Time
10, 0.91
15, 0.613333
22, 0.636364
33, 0.760606
49, 0.57551
73, 0.70274
109, 0.533945
163, 0.647239
244, 0.478279
366, 0.556831
549, 0.630237
823, 0.465857
1234, 0.586386
1851, 0.39584
2776, 0.464301
4164, 0.560159
6246, 0.42179
9369, 0.523097
14053, 0.354857
21079, 0.431576
31618, 0.384401
47427, 0.423046
71140, 0.521884
106710, 0.404898
160065, 0.510434
240097, 0.44387
360145, 0.524576
540217, 0.673394
810325, 0.520126
1215487, 0.657448
1823230, 0.517708
2734845, 0.657648
4102267, 0.536951
6153400, 0.667455
9230100, 0.861335
13845150, 0.699487
20767725, 0.859585
31151587, 0.702822
46727380, 0.845611
