Size,Time
10, 0.92
15, 0.473333
22, 0.631818
33, 0.766667
49, 0.57551
73, 0.689041
109, 0.533028
163, 0.640491
244, 0.467213
366, 0.565301
549, 0.651913
823, 0.465735
1234, 0.601053
1851, 0.381469
2776, 0.469669
4164, 0.561912
6246, 0.430724
9369, 0.523962
14053, 0.351477
21079, 0.437848
31618, 0.385948
47427, 0.423889
71140, 0.531503
106710, 0.409755
160065, 0.51092
240097, 0.453685
360145, 0.52385
540217, 0.687074
810325, 0.52072
1215487, 0.666675
1823230, 0.518715
2734845, 0.650336
4102267, 0.518993
6153400, 0.682924
9230100, 0.85902
13845150, 0.697992
20767725, 0.855979
31151587, 0.70355
46727380, 0.845877
