Size,Time
10, 0.94
15, 0.473333
22, 0.65
33, 0.772727
49, 0.581633
73, 0.69589
109, 0.541284
163, 0.596933
244, 0.471721
366, 0.56612
549, 0.645537
823, 0.460753
1234, 0.564992
1851, 0.3792
2776, 0.469705
4164, 0.55987
6246, 0.424896
9369, 0.526193
14053, 0.351761
21079, 0.432155
31618, 0.378933
47427, 0.415449
71140, 0.522988
106710, 0.407489
160065, 0.516959
240097, 0.444447
360145, 0.522509
540217, 0.673486
810325, 0.521176
1215487, 0.65879
1823230, 0.524882
2734845, 0.66154
4102267, 0.534201
6153400, 0.66845
9230100, 0.875525
13845150, 0.68936
20767725, 0.8565
31151587, 0.701001
46727380, 0.864995
