Size,Time
10, 1.11
15, 0.54
22, 0.677273
33, 0.827273
49, 0.716327
73, 0.467123
109, 0.357798
163, 0.434969
244, 0.35082
366, 0.397268
549, 0.47122
823, 0.368894
1234, 0.468963
1851, 0.340519
2776, 0.453278
4164, 0.563232
6246, 0.423199
9369, 0.524197
14053, 0.35169
21079, 0.431705
31618, 0.394086
47427, 0.411158
71140, 0.530333
106710, 0.408431
160065, 0.515386
240097, 0.444313
360145, 0.522939
540217, 0.674259
810325, 0.520295
1215487, 0.659469
1823230, 0.517395
2734845, 0.656425
4102267, 0.51849
6153400, 0.672968
9230100, 0.858039
13845150, 0.687691
20767725, 0.854796
31151587, 0.700173
46727380, 0.843877
