Size,Time
10, 0.59
15, 0.32
22, 0.422727
33, 0.506061
49, 0.379592
73, 0.565753
109, 0.5
163, 0.595092
244, 0.468033
366, 0.558197
549, 0.642623
823, 0.474241
1234, 0.571151
1851, 0.386926
2776, 0.470929
4164, 0.561095
6246, 0.424352
9369, 0.523322
14053, 0.362898
21079, 0.433844
31618, 0.378262
47427, 0.421855
71140, 0.528192
106710, 0.407791
160065, 0.511347
240097, 0.445717
360145, 0.522482
540217, 0.67189
810325, 0.521054
1215487, 0.657867
1823230, 0.517662
2734845, 0.655737
4102267, 0.519331
6153400, 0.67447
9230100, 0.856718
13845150, 0.692377
20767725, 0.856875
31151587, 0.702375
46727380, 0.844842
