Size,Time
10, 0.34
15, 0.3
22, 0.277273
33, 0.3
49, 0.314286
73, 0.272603
109, 0.420183
163, 0.384663
244, 0.404918
366, 0.386612
549, 0.39235
823, 0.396841
1234, 0.345786
1851, 0.351594
2776, 0.306448
4164, 0.301081
6246, 0.341547
9369, 0.295389
14053, 0.329154
21079, 0.295123
31618, 0.346629
47427, 0.319379
71140, 0.389272
106710, 0.459116
160065, 0.419166
240097, 0.479007
360145, 0.45841
540217, 0.498776
810325, 0.564874
1215487, 0.516522
1823230, 0.596432
2734845, 0.563603
4102267, 0.643956
6153400, 0.647798
9230100, 0.752582
13845150, 0.964377
20767725, 0.917841
31151587, 1.0987
