Size,Time
10, 492.95
15, 415.353
22, 346.877
33, 371.161
49, 376.286
73, 311.682
109, 332.288
163, 317.19
244, 315.729
366, 298.642
549, 300.859
823, 323
1234, 287.103
1851, 318.166
2776, 299.887
4164, 325.55
6246, 404.498
9369, 359.855
14053, 431.489
21079, 401.29
31618, 460.239
47427, 466.576
71140, 506.44
106710, 584.477
160065, 544.113
240097, 603.156
360145, 594.064
540217, 623.122
810325, 712.091
1215487, 672.56
1823230, 811.488
2734845, 793.964
4102267, 936.56
6153400, 1015.27
9230100, 915.311
