Size,Time
10, 0.34
15, 0.273333
22, 0.245455
33, 0.284848
49, 0.308163
73, 0.254795
109, 0.286239
163, 0.382822
244, 0.386885
366, 0.402732
549, 0.371949
823, 0.391616
1234, 0.337439
1851, 0.345435
2776, 0.30353
4164, 0.292195
6246, 0.327265
9369, 0.288473
14053, 0.314125
21079, 0.274629
31618, 0.3128
47427, 0.317912
71140, 0.321621
106710, 0.381961
160065, 0.338351
240097, 0.388207
360145, 0.38396
540217, 0.402759
810325, 0.451512
1215487, 0.409807
1823230, 0.454155
2734845, 0.451074
4102267, 0.470205
6153400, 0.516567
9230100, 0.516755
13845150, 0.591565
20767725, 0.587992
31151587, 0.642853
46727380, 0.685595
