Size,Time
10, 0.34
15, 0.26
22, 0.3
33, 0.293939
49, 0.304082
73, 0.256164
109, 0.288073
163, 0.259509
244, 0.272541
366, 0.296175
549, 0.268124
823, 0.293439
1234, 0.268233
1851, 0.285197
2776, 0.271182
4164, 0.285134
6246, 0.326113
9369, 0.288355
14053, 0.314666
21079, 0.273908
31618, 0.316016
47427, 0.320273
71140, 0.330478
106710, 0.382574
160065, 0.339966
240097, 0.389369
360145, 0.383247
540217, 0.404172
810325, 0.450024
1215487, 0.406354
1823230, 0.453689
2734845, 0.450244
4102267, 0.470577
6153400, 0.517327
9230100, 0.51745
13845150, 0.586242
20767725, 0.587978
31151587, 0.64929
46727380, 0.687718
