Size,Time
10, 0.7
15, 0.42
22, 0.4
33, 0.439394
49, 0.453061
73, 0.394521
109, 0.42844
163, 0.404908
244, 0.418443
366, 0.408197
549, 0.368852
823, 0.386513
1234, 0.341815
1851, 0.34295
2776, 0.309438
4164, 0.290058
6246, 0.326385
9369, 0.289241
14053, 0.315356
21079, 0.274097
31618, 0.313173
47427, 0.316328
71140, 0.321863
106710, 0.382618
160065, 0.33922
240097, 0.388786
360145, 0.383812
540217, 0.402817
810325, 0.451908
1215487, 0.408915
1823230, 0.454465
2734845, 0.45133
4102267, 0.470766
6153400, 0.517395
9230100, 0.517432
13845150, 0.589453
20767725, 0.589704
31151587, 0.64475
46727380, 0.687506
