Size,Time
10, 0.33
15, 0.433333
22, 0.381818
33, 0.424242
49, 0.457143
73, 0.390411
109, 0.444954
163, 0.404294
244, 0.417623
366, 0.37377
549, 0.269945
823, 0.289429
1234, 0.266937
1851, 0.284927
2776, 0.274099
4164, 0.284774
6246, 0.326929
9369, 0.288771
14053, 0.314922
21079, 0.274809
31618, 0.312989
47427, 0.316512
71140, 0.322602
106710, 0.382254
160065, 0.338036
240097, 0.388507
360145, 0.383864
540217, 0.402658
810325, 0.451391
1215487, 0.407723
1823230, 0.453435
2734845, 0.451556
4102267, 0.470525
6153400, 0.516576
9230100, 0.517532
13845150, 0.593746
20767725, 0.59182
31151587, 0.651595
46727380, 0.702593
