Size,Time
10, 0.39
15, 0.286667
22, 0.245455
33, 0.284848
49, 0.308163
73, 0.249315
109, 0.297248
163, 0.284663
244, 0.275
366, 0.275683
549, 0.269035
823, 0.297084
1234, 0.265316
1851, 0.284927
2776, 0.27201
4164, 0.284966
6246, 0.325584
9369, 0.288088
14053, 0.313172
21079, 0.273476
31618, 0.311813
47427, 0.315803
71140, 0.31904
106710, 0.381303
160065, 0.337453
240097, 0.388097
360145, 0.38353
540217, 0.404092
810325, 0.450234
1215487, 0.407945
1823230, 0.453659
2734845, 0.450485
4102267, 0.469677
6153400, 0.516277
9230100, 0.516875
13845150, 0.587485
20767725, 0.593222
31151587, 0.649714
46727380, 0.702759
