Size,Time
10, 0.51
15, 0.4
22, 0.381818
33, 0.418182
49, 0.473469
73, 0.379452
109, 0.444037
163, 0.398773
244, 0.409426
366, 0.423224
549, 0.374863
823, 0.386391
1234, 0.342788
1851, 0.336575
2776, 0.310195
4164, 0.292243
6246, 0.327874
9369, 0.288409
14053, 0.315121
21079, 0.275336
31618, 0.312581
47427, 0.316809
71140, 0.321202
106710, 0.382079
160065, 0.337762
240097, 0.388249
360145, 0.383537
540217, 0.402683
810325, 0.45257
1215487, 0.408597
1823230, 0.45476
2734845, 0.451007
4102267, 0.470224
6153400, 0.516724
9230100, 0.517394
13845150, 0.58688
20767725, 0.586293
31151587, 0.641663
46727380, 0.690536
