Size,Time
10, 458.36
15, 365.72
22, 338.186
33, 361.082
49, 355.229
73, 305.899
109, 343.295
163, 315.028
244, 318.69
366, 348.016
549, 310.053
823, 336.612
1234, 304.247
1851, 321.822
2776, 314.982
4164, 325.864
6246, 396.081
9369, 360.413
14053, 412.462
21079, 346.835
31618, 433.386
47427, 450.473
71140, 441.444
106710, 499.271
160065, 446.213
240097, 505.813
360145, 490.497
540217, 526.219
810325, 594.486
1215487, 545.772
1823230, 644.497
2734845, 642.781
4102267, 708.932
6153400, 778.387
9230100, 827.587
