Size,Time
10, 0.45
15, 0.34
22, 0.413636
33, 0.451515
49, 0.381633
73, 0.408219
109, 0.373394
163, 0.360123
244, 0.314344
366, 0.343169
549, 0.37377
823, 0.309599
1234, 0.330875
1851, 0.278768
2776, 0.298379
4164, 0.33194
6246, 0.261367
9369, 0.300181
14053, 0.255575
21079, 0.294967
31618, 0.263828
47427, 0.316377
71140, 0.376711
106710, 0.326972
160065, 0.367189
240097, 0.336019
360145, 0.370277
540217, 0.430469
810325, 0.378461
1215487, 0.417032
1823230, 0.385903
2734845, 0.44057
4102267, 0.408845
6153400, 0.47368
9230100, 0.564745
13845150, 0.524349
20767725, 0.60686
31151587, 0.576068
46727380, 0.656375
