Size,Time
10, 550.1
15, 318.987
22, 344.491
33, 364.945
49, 297.757
73, 312.611
109, 268.482
163, 287.416
244, 249.109
366, 272.682
549, 299.184
823, 255.067
1234, 288.746
1851, 251.22
2776, 296.292
4164, 382.358
6246, 314.645
9369, 386.828
14053, 336.888
21079, 392.759
31618, 362.883
47427, 407.841
71140, 474.574
106710, 415.912
160065, 461.667
240097, 424.323
360145, 466.299
540217, 550.612
810325, 492.411
1215487, 574.975
1823230, 548.881
2734845, 650.191
4102267, 620.277
6153400, 736.865
9230100, 847.492
